Text,Sentiment
Yes I liked its taste tobacco is good,1
Yes it is smooth,1
Taste is good not too hard,1
Yes it is good and smooth,1
Taste was good filter is smooth,1
Yes filter is good it is smooth puffs are easy,1
This cigarette is okay It is light and easy to smoke,1
The filter of this cigarette is good It is a good product but it was little bit hard It should be smooth and add some flavors,0
This cigarette is very light It should be little bit hard I didnt like it,0
This cigarette is smooth but it was little bit hard in taste It should be little bit light,0
cigarette is nice slightly hard ,0
cigarette is nice puffing is easy,1
Taste is nice and different,1
Taste is nice smooth ,1
cigarette is nice smooth,1
Taste was nice normal,1
Tobacco is slightly hard,0
It is like Gold Flake and taste was slightly bitter,0
It is slightly strong and it irritate in the throat,0
It was just okay light I didnt like it,0
I didnt like it but it is slightly hard it irritate in the throat,0
Yes filter is nice smooth and soft,1
Filter is nice and smooth ,1
Filter was nice,1
Smoke is fine and it is not irritating in the throat flavor was nice,1
cigarette is nice and soft,1
This is soft and better than Gold Flake light ,1
cigarette is smooth taste is nice it is not irritating in the throat,1
Filter is nice I like it,1
It is nice quality is fine ,1
It is soft and filter is nice,1
cigarette is light,1
Yes it is soft smooth and better,1
It is smooth and taste is nice,1
Yes cigarette is smooth and nice,1
It is nice and soft,1
Filter is nice I like it ,1
It is soft and smooth ,1
cigarette is smooth,1
Filter is soft and puffing is easy ,1
It is slightly hard it irritate in the throat ,0
It is nice taste is perfect ,1
It is smooth filter is nice,1
It is soft smooth,1
It is nice slighty hard ,0
cigarette is nice filter is nice and big,1
No it was just okay I didnt like it,0
cigarette was smooth and filter was nice,1
cigarette is fine just like normal cigarette I will share it with my friends ,1
I like its taste,1
I liked it good in smoking,1
Yes cigarette is good tobacco is light it is smooth,1
Yes it is light cigarette,1
Taste was bitter,0
no need to change anything in the cigarette,1
The cigarette was good before I broke the capsule in it after the capsule is pressed there is a bit of irritation,0
The irritation should be not there in the cigarette That should be changed,0
initially the cigarette was strong but later with the filter the flavor was strong The cigarette is strong,0
The mint flavor should be reduced a bit in the cigarette,0
The mint flavor is a bit strong rest everything is fine,0
when we smoke this cigarette after pressing the capsule we feel tired,0
The cigarette was very strong and there is a bit of burning sensation before we break the capsule,0
I feel like my throat is burning,0
they should change the flavor of the cigarette,0
The cigarette is like a regular one and is strong,0
The cigarette in the starting is a bit hard and uncomfortable to smoke so it should be made mild,0
The cigarette is good and no changes are required,1
No changes required in the cigarette as it is good,1
The cigarette is very good to smoke,1
I didnt like the cigarette taste but overall it is a okay cigarette ,1
The cigarette is strongness is too much so it should be reduced,0
The cigarette is good and the flavour and strongness should be medium,0
Just the taste has to be changed a little bit,0
No changes required in the cigarette ,1
No changes required in the cigarette as everything in the cigarette is good,1
The cigarette after initial puffs is good but it is very hard after the starting puffs so the hardness should be reduced,0
The cigarette is a bit sour so I didnt like it,0
The cigarette is strong it should be light,0
Please increase the mint flavour as the flavour is very less,0
The cigarette is normal and No changes required in the cigarette ,1
No changes required in the cigarette as it is good The taste of the cigarette is good,1
No changes required in the cigarette as the cigarette is good,1
The cigarette is very classy,1
The cigarette is not good it is hard so it should be changed,0
No changes required in the cigarette as it is good it is perfect,1
The cigarette is slightly hard so make it a bit smooth,0
The cigarette is hard and it gives a burning sensation to the throat,0
The cigarette is hard so it should be made light,0
Change the flavour of the cigarette ,0
The cigarette has too much tobacco quantity so hardness should be reduced,0
No changes required in the cigarette as it is very good,1
The taste of the cigarette should be changed The cigarette gives too much smoke,0
The cigarette is strong and gives too much smoke so change it,0
The cigarette is and No changes required in the cigarette ,1
No changes needed,1
No changes needed it is correct,1
No changes needed I liked it,1
It is hard can be reduced,0
It is good no changes needed,1
No changes needed it is very good,1
No it was good ,1
No changes needed it is good,1
No changes needed can be the same,1
No changes needed this is good,1
No changes needed as it is very cool,1
No changes needed it is super,1
cigarette is good but is very hard So the hardness should be reduced Thats it Everything else is good,0
No need to make any changes Everything is good,1
No everything is good,1
No everything in the cigarette is good,1
No cigarette is very good,1
Good No it is good,1
No need to make any changes It is good It should be same,1
No it is good,1
No it should be same,1
No it is good Mint flavor is good but cigarette is hard So the hardness should be reduced,0
No it is good It should be same,1
cigarette taste is good  cigarette quality is superb Recently I smoked American cigarette Quality of both the cigarette is same cigarette is superb,1
No need to make any changes It should be same ,1
No cigarette is good Tasty is also good It should be same,1
No it is good and tasty It should be same,1
No need of any changes cigarette is good,1
cigarette is very good No need to make any changes,1
No cigarette will be spoiled if some changes are made in it because cigarette is very good and tasty,1
No cigarette is superb No,1
be made,0
is good,1
same,1
No changes needed taste is good,1
has sweet taste,1
everything,1
super,1
normal,1
flavour can be little reduced,0
it is light,1
It is normal ,1
Taste is not there and it is normal,1
I liked it as it is good,1
thing,1
It can be little hard as it is mild,0
No changes needed ,1
No cigarette is good No,1
Yes Everything is good,1
No cigarette is good and should be same ,1
No cigarette is good  This cigarette is better than the regular one,1
No,1
No cigarette is good No I smoked many other cigarette but this cigarette goes very smoothly ,1
Everything is good No need of any changes,1
No it should be same ,1
cigarette is good and is tasty There is no need to make any changes,1
No need to make any changes cigarette is superb,1
No need to make any changes cigarette is good No,1
No need to make any changes because cigarette is good,1
cigarette is good and no need to make any changes,1
no need of any changes cigarette should be same,1
No need of any changes cigarette is good and should be same,1
no changes its good,1
no changesits fine,1
no changes,1
its perfect no changes,1
no changes its fine,1
its like scissor filter I dont know more about it First it was like that Its burning in throat,0
this one is good no changes,1
its good,1
no changes its good,0
no changes it should be as it is,1
its fine,1
this one is good,1
this one is too strong it should be changed otherwise its good,0
the strength is too high it should be reduced,0
no changes its correct,1
no changes its good to some extent,1
its goodno changes,1
its good no changes,1
nothing,1
no changes this is tasty,1
no changes cigeratte is too good,1
some of the people press the capsule and some dont do that we dont want this capsule,0
no changes this is fine,1
It should be like this only,1
not required It is good this way,1
No changes are required It is very nice It is good in taste and I liked it I dont think any changes are necessary,1
No changes are required sir just have to reduce the strong flavour It is too strong otherwise rest is good,0
I think it is a litter stronger and if it is made a little smooth it should be good That is it,0
No change is required It is very nice,1
Dont make Everything is good I like everything,1
No change is necessary everything is good,1
It is okay No changes are needed,1
It is nice as far as the cigarette is concerned Changes are not required,1
No change is needed Everything is good,1
I dont think any change is needed It is very nice,1
Nothing to change cigarette is good and has quality Everything is ok,1
Nothing  ,1
No change is needed It is nice,1
Nothing is needed All good,1
Nothing sir Everything is nice,1
No changes are needed All ok,1
No change is needed Good,1
Change is not required sir It is tasty Good,1
No change is needed It tasted very good Just a little bit strong So may be that can be minimised a little,0
Nothing like that cigarette is very good,1
I think it is too strong It should be reduced a little,1
Nothing Everything is good,1
I think the size is not good It should be changed a little It is too strong as well So that has to be minimised as well,0
I think it is strong and if that can be reduced a little it should be fine,0
No change It is good in general,1
Size and filter is not good They have to be slightly changed It is too strong so I think it should be minimised,0
Everything is good no change is needed Taste is also nice,1
no changes this one is good and I liked this brand,1
No changes needed it is normal,1
I didnt like as it is cool and sweet,0
mint flavour is good cigarette length can be big,0
and tasty,1
It is good,1
10% hard can be reduced it is good,0
Nothing sir,1
nothing like that,1
No changes are needed It is very nice,1
not required Very good,1
Not necessary,1
Nothing like that Nice,1
No change is needed It is good this way,1
No need of change Good,1
Nothing It is good,1
It is nice No,1
Not required It is very good,1
No need to change anything in this cigarette Everything is good I think it too strong and should be a little milder Rest is good,0
No change is needed Just the flavor is strong That has to be a little reduced Rest is ok,0
no sir dont need to change Super,1
nothing Everything is good I think the size can be a little increase,0
not required Everything is good,1
no need to change I liked the cigarette completely,1
No need to change cigarette is good,1
No need to change Everything is good,1
If the strength is reduced itll be better,0
Its good enough now no changes required,1
Hardness should be reduced,0
Its strong but no changes required,1
The cigarette is good enough,1
Everything is good,1
No changes required its good enough,1
No changes required,1
No changes required the cigarette is good enough,1
No changes required its very nice,1
No changes required its a very nice cigarette,1
It is very hard can be reduced,0
No changes needed it is prefect,1
same taste,1
the cigarette should be a bit mild as the cigarette is very strong,0
the cigarette was nice before we break the capsule_�_ after the capsule is pressed the cigarette is strong,0
the mint flavor in the cigarette is too strong which should be changed,0
the mint is too strong in the cigarette which should be mild,0
before we break the capsule there is too much of irritation in the throat I did not liked it,0
initially there is a bit of irritation in the throat which should be changed,0
the cigarette was mil before we break the capsule and it was a bit strong after we break the file,0
There is no need to change anything in the cigarette ,1
No changes required in the cigarette as cigarette is good,1
yes I liked the taste And it is nice,1
they should reduce the menthol flavor in the cigarette rest everything is fine,0
The cigarette should be a bit strong it is more minty,0
The cigarette is good but hard increased the flavour ,0
The cigarette is hard so it is not good make it a bit soft,0
The cigarette is similar to the earlier cigarette but its taste is good,1
The cigarette is good and comfortable to smoke it is smooth but reduce the rate of the cigarette ,0
The cigarette is very good,1
The flavour of mint should be reduced The tobacco is high so it should be reduced,0
The cigarette is better than the cigarette I smoked earlier,1
I didnt like the smell in the cigarette The button in the cigarette has to be pressed with effort,0
The cigarette is smooth and the smoke is free,1
The cigarette is smooth and there is no need to make any changes,1
The cigarette is smooth and people who smoke is will have a good time No changes required in the cigarette ,1
The first puff is good but after the flavour is released the cigarette is strong and is not good,0
The cigarette is good and I liked it,1
The flavour of the cigarette should be changed,0
The cigarette is good but is should be more smooth,0
The cigarette is very good but it gives a bit dizziness,0
No changes required in the cigarette as everything in it is good,1
The cigarette is good no changes,1
The cigarette is a bit strong so it should be reduced of the strongness,0
The cigarette is smooth but it should be made more smooth the flavour is good,0
Reduce the hardness in the cigarette ,0
No changes required in the cigarette as the taste is good,1
The cigarette is too hard we cant smoke it for long time so it should be reduced,0
I didnt like the cigarette the hardness is too much so reduce it,0
The cigarette is strong,0
The cigarette is a bit strong so it should be made a bit mild,0
changes needed,1
This is ok than the first one,1
This was better than the first one,1
nothing else to say about this,1
No changes needed it is ok,1
Mint taste can be changed I didnt like it,0
and good,1
much better than the earlier one,1
No changes needed it is ok ,1
No cigarette is good and should continue with the same standard,1
No need of any changes but cigarette is hard So the hardness should be reduced,0
No It is good Yes I liked it,1
No cigarette is good ,1
cigarette is hard It hurts in the throat So it would be better if the hardness is reduced ,0
cigarette is hard So the hardness should be reduced,0
cigarette is very hard So the hardness should be reduced,0
No cigarette is superb,1
No need of any changes It should be same,1
No this cigarette is better than the first one It should be same Yes,1
Mint flavor is more So the mint flavor percentage should be reduced Otherwise you may get cough,0
No cigarette taste is very good,1
cigarette taste is very hard So the hardness should be reduced because you get cough on smoking this cigarette,0
and flavour is good,1
No it is good ,1
No it should be same No,1
Length can be increased,0
can be the same it will pick up well,1
the mint flavour is good ,1
be changed,0
after burst it has to be changed,0
It is normal,1
after burst it was hard,0
It is not good before burst,0
is correct,1
is good and correct,1
is good ,1
No this cigarette is also good like the previous one You can smoke it,1
Yes It is good,1
No cigarette is good,1
No this is a good cigarette,1
No this is also a good cigarette It is very pleasant,1
No need to make any changes,1
Yes,1
No need of any changes Everything is good,1
No cigarette should be same,1
Yes cigarette is tasteless and is hard So the hardness should be reduced,0
cigarette is good and tasty Mint flavor is also good,1
No Cool and good,1
No need of any changes because cigarette is superb If you make any changes cigarette will get spoiled,1
cigarette is hard So the hardness should be reduced It should be smooth,0
No need to make any changes It should be same,1
No need to make any changes cigarette is good It should be same,1
cigarette is good No need of any changes,1
no changes its perfect,1
its burning in throat it should be redcued,0
no changes its correct and good,1
no changes this is good,1
nothing this is good,1
this one is good no problem,1
no changes cigeratte is good,1
this one is sweet the second one you gave,0
no changes that one was good,1
no changes this one is good,1
not required,1
No change is necessary,1
No changes are needed It is nice,1
Changes are not required everything is nice,1
No it is normal and nice No changes,1
Not required It is good and and in comparision to the previous cigarette this is nice,1
Nothing Everything is nice,1
Nothing is required It is good if it stays this way No need,1
Dont have to change anything It is good as it is,1
Dont change It is good,1
No need to change cigarette is very nice,1
I think everything is good Dont need any changes,1
Everything is normal and I dont think there is anything to change,1
No changes are necessary I dont think so,1
Everything is good I feel it can be a little milder as it is a little strong,0
No changes to be made Everything is ok,1
I think it is a little strong and can be minimised It is leading to cough issues if it is this strong I think even filter is hard,0
Not required Everything is fine,1
I did not like this one since the taste is very strong I feel even the filter should be changed as it is very hard It should be a little mild and even the filter needs change,0
It is good and no need of changes,1
Nothing needs to be changed Everything is good,1
I think the filter has to be changed a little It is also a little strong and should be made a little light,0
I think it is okay Everything looks fine No need of any change,1
No changes are required Everything is good,1
I think the cigarette is good Only change is that it is a little strong and should be minimised a little Then everything will be good,0
no changes this one is perfect and good,1
no changes this same thing has to be maintained,1
It is hard changes has to be made,0
tasty,1
nothing else Everything is good,1
no need of any changes It is good now,1
No need,1
Nothing I feel,1
Nothing It is good now,1
no need of changes Everything is good,1
No need of change It is good,1
I like it this way No change is needed for me Very nice,1
Nothing is necessary Good,1
no need to change mint is good and tasty I think it is a little strong that can be minimised a little,0
there is no need to change Everything is very good I liked it very much ,1
no change is needed Everything is good ,1
cigarette doesnt need change Everything is good,1
I feel it is a little strong in taste that can be minimised a little for it to be tasty,0
This is a little strong cigarette That can me minimised a little That is it,0
Its very strong so if the strength is reduced itll be better,0
Its good the taste is nice so no changes required,1
No changes required everything is good,1
No changes required the cigarette is very nice,1
No its good enough,1
Everything is good enough,1
not there it can be little hard ,1
No changes needed it is good,0
is good it is super,1
the cigarette was fine before we break the cigarette and there is a bit of irritation after we break the cigarette,0
yes it was nice after an before breaking the capsule of the cigarette,0
no need to change anything in the cigarette Only after we break the capsule_�_,0
no I did not like the taste,0
The cigarette taste is sour to the tongue it is not good,0
The cigarette is good and no changes required,1
No changes required in the cigarette I felt a bit different in the throat as I am not used to it,0
Reduce the filter size,0
No changes required in the cigarette as cigarette is very good,1
No changes required in the cigarette as the cigarette is good and I liked it it is smooth,0
The cigarette is smooth the filter is a bit hard so that should be changed,0
The cigarette is good but it should be available to customers at a reasonable price Now the rate of the cigarette is 100 rupees but if it reduced to 70 rupees it will be good The filter is good too,0
Everything in the cigarette is good,1
No changes required in the cigarette as I liked the cigarette ,1
No changes required in the cigarette as everything in the cigarette is very good,1
The cigarette is strong and tobacco is a bit more So it should be changed,0
The cigarette is very good no changes required in the cigarette ,1
Just reduce the hardness then the cigarette will be superb,0
No changes required in the cigarette as the cigarette is cool to the throat it doesnt give any smell,0
No changes required in the cigarette as the cigarette is very good,1
No changes required in the cigarette as the cigarette is smooth,1
No changes required in the cigarette but the cigarette should be at lesser price,0
No changes needed I liked it a lot,1
It is light and good,1
It was good I will refer to friends,1
No changes needed it is the super,1
No need to make any changes Everything is perfect,1
cigarette is hard and hurts in the throat So the hardness should be reduced,0
No need of any changes Everything is good  Yes I liked it and no need to make any changes,1
No cigarette is tasty and easy to smoke,1
No cigarette is hard So the hardness should be reduced,1
No need to make any changes Taste and everything is good,1
No it is good No,1
No cigarette is good It should be same,1
No need of any changes cigarette is very good to smoke Inaudible,1
cigarette is hard It should be light And tobacco smell is also not good It should be changed,0
No need of any changes cigarette is good It is tasty and should be same,1
No changes needed it is godo,1
to smoke,1
cigarette is good It should be same No need to make any changes,1
No need of any changes It is good,1
No I liked the cigarette It should be same,1
and everything is correct,1
It is correct no changes needed,1
smoke,1
same it is super I liked it,1
same ,1
I liked it,1
needed,1
is good taste is also good,1
good,1
can be the same,1
Taste is good,1
smooth,1
No need to make any changes cigarette is good,1
No need to make any changes It is good No,1
No  It is good,1
No everything is good isr,1
No everything is good cigarette is hard Hardness should be reduced,0
cigarette is tasteless It doesnt have any taste I didnt like it,0
No cigarette is very hard So the hardness should be reduced,0
cigarette is good on smoking There is no need of any changes but cigarette is hard So the hardness should be reduced,0
No cigarette is good It should be same ,1
cigarette is good and should be same,1
no changes this should be as it is,1
no changes this is perfect,1
no changes I liked everything in this,1
no changes this one is perfect,1
no changes I liked it its good,1
only the flavor has to be changed no other changes,1
no changesthis one is good,1
no changes every thing is good,1
no changes everything is good,1
Not needed,1
Nothing ,1
changes are not required,1
If you say change I think it is a little strong,0
No need It is good,1
Nothing sir It is good,1
No change is necessary Everything is good including the taste ,1
Nothing sir ,1
Nothing like that It is ok even if you change but fine,1
It is not required to change but I feel that the cigarette is a little strong Though it is strong it is still tasty and has good cooling effect It is just a little stronger That is it,0
Everything is good I dont see any changes are necessary,1
Nothing is required It is good Earlier it was a little strong and so this may have reduced it now,0
No changes are needed cigarette is good and I feel it is nice,1
cigarette is good No change is needed,1
This cigarette is a bit strong and so should be a little lighter I feelEven the price is high so it has to come down a little,0
I think it is strong and that has to be minimised Filter size should be changed as it feels little hot when we hold the cigarette It should be a little lighter,0
Dont have to change anything Everything is good and nice about it,1
No changes are needed It tastes good flavorful,1
Everything is good I like it,1
No changes are needed Everything is good to me,1
I think it is oka but a little strong Otherwise it is fine,0
cigarette is good Dont need change,1
Dont have to change the cigarette It is tasty and good ,1
taste of mint is good,1
as it is very chill and can be changed,0
taste is also good,1
No changes needed it is good super,1
it is super cigarette,1
nothing like that everything is good now,1
not required to change Good,1
it is okay Good,1
no change,1
it is good No need,1
nothing like that Everything is good,1
everything is good Nothing to change,1
nothing sir It is cool and wont be good if any change is made It is good now,1
change is not needed It is good,1
cigarette is a little stronger so that should gete mild Everything else is ok,0
Dont have to change anything sir it is good in all senses,1
cigarette is smooth and nice No need to change Everything is good,1
no need of change Flavor is nice and tasty but it is slightly strong I think it should get a little mild,0
Its good only,1
Its slightly hard so the hardness should be reduced,0
Its slightly hard so that needs to be changed,0
Hardness should be reduced then itll be normal,0
Its very nice,1
Its nice and smooth,1
No changes as it has a very nice taste,1
No changes required because its very nice,1
No changes required it has a very nice taste,1
The taste is very nice,1
pressing the smell is not good it is giving boomer smell which can be changed,0
brand and having the same taste,1
and good can be the same,1
and easy to smoke,1
No changes required ,1
this cigarette felt light wile smoking its tobacco should be strong,0
no change required,1
no change required everything was good,1
there should be no change,1
it was good,1
quality of tobacco should improve,0
cigarette was slightly hard it should be light,0
cigarette was very light it should be hard,0
cigarette was light it should be hard,0
no change required it was okay,1
cigarette should slightly be smooth,0
this cigarette was light and there was no taste there should be some taste and make it hard,0
cigarette was good but it was hard Make it light,0
cigarette should be longer,0
there was no flavor,0
this cigarette was good only the tobacco was slightly hard,0
no change required cigarette was good,1
no cigarette was good,1
cigarette was very light and tobacco was also not good there should some more flavors,0
cigarette was okay no change required,1
this cigarette was okay,1
no cigarette was okay,1
this new brand is also okay,1
no change required cigarette was very good and slightly hard,1
cigarette was good,1
this cigarette was very strong make it light,0
No changes required but they should make this cigarette bit strong,0
It should be smoother,0
They should make this cigarette bit more hard,0
No changes required Aftertaste is good,1
This cigarette is light,1
Taste was good it cause no problem in throat,1
This cigarette is strong I didnt like the taste There was  burning sensation in throat,0
no need to change anything in iteverything is good in it,1
cigarette is strong quantity of tobacco was too much,0
It is slightly bitter,0
I smoke mild cigarette ,0
It is slightly strong it should be mild,0
cigarette is nice and smooth mint flavour should be added,0
cigarette is slightly hard tobacco is bitter,0
cigarette is good,1
the cigeratte I smoke has mint this should also have mint in this it should give the chillness to throat this one is hot Mint flavor is to be added,0
it did not cause irritation I liked it,1
it was not hurting in throat,1
it was hurting in the throat was burning in throat,0
I did not like this cigeratte tobacco quantity is to be reduced quality also has to be improved,0
I dont know the name of the brand no changes to be done in this,1
tobacco quality has to be changed,0
yes it should be made soft and nothing else it should be made light,0
cigeratte was good,1
flavor has to be added of cloves lightly Tobacco quantity to be reduced lightly quality has to be improved,0
flaovr is good taste is good no changes to be done,1
its hurting in the throat its hard it should be light,0
its fine no problem at all No changes,1
no its fine,1
cigeratte is good no changes to be done,1
no changes to be done,1
this does not have any flavor only has strong tobacco hurts the throat reduce the tobacco quanity and add the flavor,0
No ,1
No there is no need of any changes Yes,1
This cigarette was little hard You can add mint flavor or some other flavor in it Yes There is burning sense in the throat Yes Tobacco quantity should be reduced and quality should be improved,0
Should change the flavor of the cigarette,0
It was good No changes required,1
Should be slightly light,0
It is absolutely okay,1
Should improve tobacco quality,0
It was light No changes required,1
It was slightly strong Tobacco amount should be less to make it smooth,0
It is good for me,1
Should change tobacco quality so that people who like hard cigarette could smoke it The filter quality should be good make it smooth,0
Its a good cigarette,0
I liked it No changes required,1
cigarette is smooth make it hard,0
It should be light,0
It is very light in taste,0
No changes required It is a good cigarette,1
I wouldnt like manufacturer to change anything,1
It is too light and so it could be made  bit stronger there should be mint flavor ,0
It is too light and so it could be made  bit stronger ,0
Nothing to change Everything is fine ,1
I did  not like the mint in it ,0
I did not like the tobacco for the cigarette ,0
The cigarette was vegry good Nothing to change Everything is fine ,1
I really liked it Nothing to change Everything is fine ,1
It is causing burning sensation they should improve it,0
This is a hard cigarette,0
We have to drag it hard this cigarette has less smoke,0
cigarette should slightly be hard,0
there should be some improvements,0
quantity of tobacco should decrease,0
this cigarette was slightly hard,0
there was no smoke while smoking this cigarette It was a normal cigarette,0
everything was good but cigarette was strong,0
no change required Add some mint flavor,1
its tobacco was okay,1
this cigarette was hard make it light,0
no it was slightly okay,1
this cigarette was good,1
there should be some changes It was burning in throat,0
its taste was bitter,1
this cigarette was harder than first one,0
cigarette was getting stuck while smoking,0
everything was good,1
there should be slight changes Its paper should be more thinner ,0
everything was good in this cigarette It was slightly hard that should decease,0
add cardamom flavor,0
there should be more mint flavor,0
cigarette was slightly hard,0
cigarette was hitting In throat,0
tobacco of this cigarette was not strong Quantity of tobacco should increase and quality was good,1
make it slightly hard It was very light,0
tobacco of this cigarette was more but it was good its quality should slightly improve,1
cigarette was light make it hard,0
everything was okay,1
cigarette was slightly hard quantity of tobacco was more,0
no change required cigarette was smooth and not hard,1
cigarette was strong make it light,0
there should be slight changes its taste was not good,0
nothing everything was good,1
this cigarette was strong make it light,0
They should make better cigarette than this,0
cigarette is good and smooth to smoke it was hitting a bit as it was hard they should increase quantity of tobacco,0
They should make this cigarette harder,0
This cigarette is bit hard they should change the hardness,0
Flavor is not coming taste is not coming they should improve it,0
This cigarette is bit harsh,0
It was hitting inside the throat ,0
It was hitting a bit inside the throat ,0
cigarette is good Elaichi flavour was there taste of tobacco was bit more,1
Quantity of tobacco should be increased,0
It was not good it hit inside throat I didnt like it,0
They should make it strong,0
the cigarette should be bit hard,0
nothing to change in it everything is ok in it,1
Quantity of tobacco should be added an quality should be more,0
It is slightly strong,0
No everything is perfect ,1
This cigarette is different ,1
It is harsh it should be perfect ,0
cigarette is too mild it should be hard,0
cigarette is little bit hard it should be light,0
yes some changes have to be done its hard the previous one was fine this one was hard to take the puff,0
I did not find any flavor in this some flavor is to be added,0
its a good cigeratte no changes to be done,1
smoke is too less it should be more some flavor has to be added in this,0
it was not feeling good in throat it was hard,0
not much,1
this one is better than before one I liked this No changes to be done in this,1
no changes is to be done its good,1
cigeratte is fine previous one was good,1
bitterness has to be changed,1
this one is hard and good I liked it Tobacco quanitty is to be slightly reduced and qulaity to be improved its burning in throat,0
cigeratte is hard it should be made soft,0
cigeratte is too mild it should be strong Flavor has to be added,0
I didnt like this cigarette Tobacco quantity was not good There is need to do some improvements cigarette was not smooth and there was irritation in the throat Yes Yes,0
cigarette filter is small Its length should be increased,0
No it was little less Hardness was mild Everything is good Only mint flavor should be added,0
cigarette was good No changes required,1
It is a hard cigarette make it light,0
cigarette was nice,1
It is light should make it strong,0
Its a good cigarette,1
Make it mild,0
It was strong should reduce tobacco intensity,0
It is okay,1
Should reduce tobacco intensity and make it smooth,0
It is very strong and draw efforts are difficult,0
Tobacco amount should be reduced and should add cool flavor in it,0
Previous cigarette was better than this This one is hard in taste,0
It was bad tobacco amount is more in this cigarette for a person it could be harmful,0
It is hard should be light,0
It was hard tobacco intensity is strong reduce tobacco amount and make it smooth,0
Tobacco is more than required and it was hurting the throat and the quantity should be reduced ,0
It should be smoother ,0
It was fairly good the tobacco quantity should be reduced and quality should be increased ,0
I did not like it the tobacco should be enhanced ,0
I will refer this cigarette to my friends,1
No I will not discuss about this cigarette with my friends,0
Yes I will definitely tell about this cigarette to my friends,1
the cigarette is a bit strong after the capsule is pressed it still feels strong with the filter,0
There is a bit of mint flavor in this cigarette and there is sweet flavor also in the cigarette,0
I liked the mint flavor of the cigarette Yes I will discss about this cigarette with my friends,1
the flavor of the cigarette gave cool feel in the throat,1
there is a bit of irritation when we smoke this cigarette without pressing the capsule So I want it should be changed,0
I will tell to all the frinds who buy cigarette of this price,1
no need to change anything in the cigarette,1
I will tell my friends that the cigarette is just a bit good not much,0
I will tell my friends that the cigarette is good,1
yes I will tell my friends that this cigarette is nice and will ask them to try this cigarette,1
The cigarette is smooth and there is no changes required,1
The cigarette is smooth and flavor is good,1
