,Panel,Product,Likes,Likes_new,Sentiment,Dislikes,Dislikes_new,SentimentDislike
10,MGA,D782,It is a good cigarette but it is hard/ in the beginning it is smooth but it hard as you continue smoking. ,"['good', 'cigarette', 'but', 'hard', 'begin', 'smooth', 'but', 'hard', 'continue', 'smoking']",0.011776877,cigarette is hard. So the hardness should be reduced. ,"['cigarette', 'hard', 'hardness', 'should', 'reduce']",0.0013144035
11,Marlts,V476,This is a good blend. You can smoke it/ It refreshes your smoke/ And it gives you good company and makes you tension free. ,"['good', 'blend', 'smoke', 'refreshes', 'smoke', 'give', 'good', 'company', 'make', 'tension', 'free']",0.9915496,No.,['no'],0.9409806
12,MGA,G647,I didn’t like it much. My regular blend is better than this/ I am smoking this blend from long time. It never hurts in the throat. But today this cigarette hurts in the throat.,"['not', 'like', 'much', 'regular', 'blend', 'well', 'smoking', 'blend', 'long', 'time', 'never', 'hurt', 'throat', 'but', 'today', 'cigarette', 'hurt', 'throat']",0.9318348,"Smoke is different/ That’s it/ Taste is good. You feel like smoking it again/  When you leave the smoke after taking puff, it burns in your eyes.","['smoke', 'different', 'taste', 'good', 'feel', 'like', 'smoking', 'leave', 'smoke', 'after', 'take', 'puff', 'burn', 'eye']",0.69141406
13,Marlts,D782,Taste is good/ It doesn’t hurt in the throat/ It is going smoothly,"['taste', 'good', 'not', 'hurt', 'throat', 'go', 'smoothly']",0.89722675,No. it is good.,"['no', 'good']",0.99228376
14,Marlts,G647,Blend is smooth and anyone can smoke it. It is not harmful for health. It refreshes your mind.,"['blend', 'smooth', 'anyone', 'smoke', 'not', 'harmful', 'health', 'refreshes', 'mind']",0.98594505,cigarette should be strong. Tobacco quantity is less. Quantity should be increased.,"['cigarette', 'should', 'strong', 'tobacco', 'quantity', 'less', 'quantity', 'should', 'increase']",0.00019585725
15,MGA,V476,That this is a very good cigarette/ I liked it taste.,"['very', 'good', 'cigarette', 'like', 'taste']",0.9250119,No.,['no'],0.9409806
16,MGA,T295,It is a hard cigarette/ No. it is a very hard cigarette.,"['hard', 'cigarette', 'no', 'very', 'hard', 'cigarette']",0.21954626,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
17,Marlts,T295,Taste is good/ The after taste remains for long time/ Smell is good. cigarette is very soft.,"['taste', 'good', 'after', 'taste', 'remains', 'long', 'time', 'smell', 'good', 'cigarette', 'very', 'soft']",0.8516464,"Taste, smell is good/ No need to make any changes. It is very good.","['taste', 'smell', 'good', 'no', 'need', 'make', 'change', 'very', 'good']",0.98338103
18,Marlts,T295,It is a good cigarette/ I liked the flavor and taste.,"['good', 'cigarette', 'like', 'flavor', 'taste']",0.8875808,No.,['no'],0.9409806
19,Marlts,B845,cigarette is hard and good for those who smoke  hard cigarettes.,"['cigarette', 'hard', 'good', 'smoke', 'hard', 'cigarette']",0.19629794,I liked this blend. ,"['like', 'blend']",0.89173603
20,Marlts,K817,It is a very good cigarette and is very smooth. It doesn’t hurt in the throat.,"['very', 'good', 'cigarette', 'very', 'smooth', 'not', 'hurt', 'throat']",0.9219312,No.,['no'],0.9409806
21,Marlts,K817,Taste is good. Blend is good. Some flavor should be added to it. It doesn’t have any flavor/ They should add some flavor to the blend.,"['taste', 'good', 'blend', 'good', 'flavor', 'should', 'add', 'not', 'flavor', 'should', 'add', 'flavor', 'blend']",0.009125784,Will add mint flavor to it/ Everything is good but it will taste better if mint flavor is added.,"['add', 'mint', 'flavor', 'everything', 'good', 'but', 'taste', 'well', 'mint', 'flavor', 'add']",0.5924481
22,Marlts,D782,Will say that this is a good cigarette and easy to smoke/ Taste is good. ,"['say', 'good', 'cigarette', 'easy', 'smoke', 'taste', 'good']",0.9969447,cigarette is smooth/ No. it is good.,"['cigarette', 'smooth', 'no', 'good']",0.99708074
23,MGA,B845,cigarette is smooth and doesn’t hurt in the throat.,"['cigarette', 'smooth', 'not', 'hurt', 'throat']",0.88210255,No.,['no'],0.9409806
24,MGA,D782,That this is a good blend and is very smooth and easy to smoke.,"['good', 'blend', 'very', 'smooth', 'easy', 'smoke']",0.9976368,No. it is good.,"['no', 'good']",0.99228376
25,MGA,G647,Taste is superb and light. It is an awesome cigarette and doesn’t hurt in the throat/ Will say that tobacco taste is superb.,"['taste', 'superb', 'light', 'awesome', 'cigarette', 'not', 'hurt', 'throat', 'say', 'tobacco', 'taste', 'superb']",0.7931153,No  need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
26,MGA,D782,cigarette is good with superb taste.,"['cigarette', 'good', 'superb', 'taste']",0.99434257,No.,['no'],0.9409806
27,MGA,B845,Will not say anything. ,"['not', 'say', 'anything']",0.625112,Blank,['blank'],0.78981745
28,MGA,K817,Will say that it is smooth blend with good taste. You can enjoy smoking it.,"['say', 'smooth', 'blend', 'good', 'taste', 'enjoy', 'smoking']",0.98864335,cigarette is light and smooth. Everything is good.,"['cigarette', 'light', 'smooth', 'everything', 'good']",0.9862375
29,Marlts,G647,Will say that this is a good cigarette and smooth. It doesn’t hurt in the throat and taste is not bitter.,"['say', 'good', 'cigarette', 'smooth', 'not', 'hurt', 'throat', 'taste', 'not', 'bitter']",0.44529048,Will not make any changes. It is good.,"['not', 'make', 'change', 'good']",0.86170936
30,MGA,V476,This is a good product and will go well if comes in  market. It goes very smoothly when you smoke. This blend is better than other blends.,"['good', 'product', 'go', 'well', 'come', 'market', 'go', 'very', 'smoothly', 'smoke', 'blend', 'well', 'blend']",0.99114674,There is no need to make any changes and one thing I observed is that this blend is better than all other blends. It should be launched in market soon.,"['no', 'need', 'make', 'change', 'one', 'thing', 'observe', 'blend', 'well', 'blend', 'should', 'launch', 'market', 'soon']",0.9087921
31,MGA,T295,I  prefer this blend and will continue smoking it. I will recommend to my friends also. I liked it very much.,"['prefer', 'blend', 'continue', 'smoking', 'recommend', 'friend', 'also', 'like', 'very', 'much']",0.7312546,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
32,MGA,T295,Taste and flavor is OK/ Tobacco flavor is good.,"['taste', 'flavor', 'ok', 'tobacco', 'flavor', 'good']",0.62187696,Only the filter size should be big. Everything else is good.,"['filter', 'size', 'should', 'big', 'everything', 'else', 'good']",0.11427984
33,Marlts,V476,Product is good and you can use it. ,"['product', 'good', 'use']",0.93473876,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
34,Marlts,B845,cigarette is good/ Will ask my friends to smoke it.,"['cigarette', 'good', 'ask', 'friend', 'smoke']",0.99066925,This is a good cigarette/ No.,"['good', 'cigarette', 'no']",0.9904653
35,Marlts,D782,My friends prefer light cigarette. So they can try this one.,"['friend', 'prefer', 'light', 'cigarette', 'try', 'one']",0.97859794,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
36,Marlts,K817,This is a good blend with good taste. ,"['good', 'blend', 'good', 'taste']",0.9980647,I will increase the smoothness of the cigarette.,"['increase', 'smoothness', 'cigarette']",0.40976956
37,Marlts,G647,Because cigarette is good and smooth to smoke. I liked this cigarette and will recommend to my friends also.,"['cigarette', 'good', 'smooth', 'smoke', 'like', 'cigarette', 'recommend', 'friend', 'also']",0.968869,I will not make any changes in this blend because I liked it very much.,"['not', 'make', 'change', 'blend', 'like', 'very', 'much']",0.8387724
38,MGA,K817,That this is a good blend and is not costly.,"['good', 'blend', 'not', 'costly']",0.9865398,Will not make any changes. It is good.,"['not', 'make', 'change', 'good']",0.86170936
39,MGA,B845,Smoke is perfect and going smoothly. It is a good product.,"['smoke', 'perfect', 'go', 'smoothly', 'good', 'product']",0.99645317,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
40,MGA,D782,cigarette is smooth and doesn’t hurt in the throat.,"['cigarette', 'smooth', 'not', 'hurt', 'throat']",0.88210255,There is no need to make any changes because it is smooth to smoke.,"['no', 'need', 'make', 'change', 'smooth', 'smoke']",0.97991335
41,Marlts,B845,That cigarette is smooth and light. It doesn’t hurt in the throat.,"['cigarette', 'smooth', 'light', 'not', 'hurt', 'throat']",0.7925424,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
42,MGA,D782,I would say that this is a smooth cigarette and will ask them to try it.,"['would', 'say', 'smooth', 'cigarette', 'ask', 'try']",0.9748145,Filter size should be increased.,"['filter', 'size', 'should', 'increase']",0.0067933286
43,MGA,K817,That this is a good blend and will ask my friends to smoke it.,"['good', 'blend', 'ask', 'friend', 'smoke']",0.99708253,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
44,MGA,K817,Actually this is a hard cigarette.  I smoke regularly but this is slightly hard cigarette compared to my regular one. ,"['actually', 'hard', 'cigarette', 'smoke', 'regularly', 'but', 'slightly', 'hard', 'cigarette', 'compare', 'regular', 'one']",0.0023704513,Hardness should be reduced. Everything else is good.,"['hardness', 'should', 'reduce', 'everything', 'else', 'good']",0.028245725
45,MGA,B845,That this is a very good blend and is very smooth. It doesn’t hurt in the throat.,"['very', 'good', 'blend', 'very', 'smooth', 'not', 'hurt', 'throat']",0.97489434,Will not make any changes and continue smoking this blend only. It is a very good product.,"['not', 'make', 'change', 'continue', 'smoking', 'blend', 'very', 'good', 'product']",0.9826623
46,MGA,D782,That this is a good blend. ,"['good', 'blend']",0.9896276,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
47,MGA,G647,This cigarette was hard and hurts in the throat/ no.,"['cigarette', 'hard', 'hurt', 'throat', 'no']",0.5490895,cigarette hurts in the throat. So that should not be there. ,"['cigarette', 'hurt', 'throat', 'should', 'not']",0.07445842
48,MGA,V476,Will say that cigarette taste is good. ,"['say', 'cigarette', 'taste', 'good']",0.9817345,I will not make any changes in this blend because I liked it very much.,"['not', 'make', 'change', 'blend', 'like', 'very', 'much']",0.8387724
49,MGA,B845,This is a good cigarette and easy to smoke.,"['good', 'cigarette', 'easy', 'smoke']",0.9923161,Will not make any changes. It is good.,"['not', 'make', 'change', 'good']",0.86170936
50,MGA,V476,Will say that this is a smooth cigarette with good taste. Will ask them to start smoking this cigarette.,"['say', 'smooth', 'cigarette', 'good', 'taste', 'ask', 'start', 'smoking', 'cigarette']",0.950519,Will not make any changes. It is good.,"['not', 'make', 'change', 'good']",0.86170936
51,Marlts,D782,That this is a good cigarette.,"['good', 'cigarette']",0.96528995,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
52,Marlts,T295,cigarette quality is good and is smooth to smoke. ,"['cigarette', 'quality', 'good', 'smooth', 'smoke']",0.9968712,It tastes like a normal cigarette. It should be made more strong. ,"['taste', 'like', 'normal', 'cigarette', 'should', 'make', 'strong']",0.03800025
53,MGA,T295,This is a very good product with very good taste.,"['very', 'good', 'product', 'very', 'good', 'taste']",0.9822858,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
54,Marlts,V476,That this is a good product. ,"['good', 'product']",0.95046735,Will not make any changes. It is good.,"['not', 'make', 'change', 'good']",0.86170936
55,MGA,G647,That this is a good ciggearte and will ask them to smoke it.,"['good', 'ciggearte', 'ask', 'smoke']",0.97839296,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
56,Marlts,V476,Will say that this is a good and smooth cigarette.,"['say', 'good', 'smooth', 'cigarette']",0.9916625,Will make it smooth. ,"['make', 'smooth']",0.85017294
57,Marlts,K817,It is smooth and gives pleasant feel in the throat/ No.,"['smooth', 'give', 'pleasant', 'feel', 'throat', 'no']",0.91548836,No.,['no'],0.9409806
58,Marlts,D782,I liked the product and its taste very much.,"['like', 'product', 'taste', 'very', 'much']",0.304467,No. it is good.,"['no', 'good']",0.99228376
59,Marlts,G647,That this is a  very good cigarette and it refreshens your mind. This cigarette is better than my regular one. ,"['very', 'good', 'cigarette', 'refreshens', 'mind', 'cigarette', 'well', 'regular', 'one']",0.9124301,I had smoked Gold flake light. But I liked this blend very much. The after taste remains for long time. ,"['smoke', 'gold', 'flake', 'light', 'but', 'like', 'blend', 'very', 'much', 'after', 'taste', 'remains', 'long', 'time']",0.81623757
60,Marlts,V476,"After taste, flavor and everything is good.","['after', 'taste', 'flavor', 'everything', 'good']",0.9424809,Menthol flavor should be added in the blend. ,"['menthol', 'flavor', 'should', 'add', 'blend']",0.025705198
61,Marlts,B845,I liked the blend and good to smoke regularly/ Yes. cigarette is light and has good taste.,"['like', 'blend', 'good', 'smoke', 'regularly', 'yes', 'cigarette', 'light', 'good', 'taste']",0.99198115,The starting tip is hard but everything else is good.,"['start', 'tip', 'hard', 'but', 'everything', 'else', 'good']",0.6651757
62,MGA,V476,That this is a very good product. It has good taste and flavor.,"['very', 'good', 'product', 'good', 'taste', 'flavor']",0.97313964,Nothing.,['nothing'],0.9433711
63,Marlts,D782,cigarette is very light. There is no taste in it.,"['cigarette', 'very', 'light', 'no', 'taste']",0.9374284,Tobacco quantity should be increased.,"['tobacco', 'quantity', 'should', 'increase']",0.0077238097
64,MGA,G647,I liked this cigarette and enjoyed smoking it. Will tell all my friends about this cigarette.,"['like', 'cigarette', 'enjoy', 'smoking', 'tell', 'friend', 'cigarette']",0.8340992,They should add something for the coolness.,"['should', 'add', 'something', 'coolness']",0.017280472
65,Marlts,V476,It is hard and easy to smoke.,"['hard', 'easy', 'smoke']",0.54686964,I will change the filter size.,"['change', 'filter', 'size']",0.50024974
66,Marlts,T295,That smoke is less and has long filter and is very smooth/ Irritation in the throat is less.,"['smoke', 'less', 'long', 'filter', 'very', 'smooth', 'irritation', 'throat', 'less']",0.006196011,Tobacco blend should be changed. ,"['tobacco', 'blend', 'should', 'change']",0.20332716
67,MGA,B845,Will tell them that they should compulsory try this cigarette/ Because it is not harmful for health/ It is light and a perfect ciggearte.,"['tell', 'should', 'compulsory', 'try', 'cigarette', 'not', 'harmful', 'health', 'light', 'perfect', 'ciggearte']",0.9730713,No.,['no'],0.9409806
68,Marlts,G647,cigarette is good and you can smoke it.,"['cigarette', 'good', 'smoke']",0.9820347,No. it is good.,"['no', 'good']",0.99228376
69,MGA,K817,Because cigarette is smooth and doesn’t hurt in the throat.,"['cigarette', 'smooth', 'not', 'hurt', 'throat']",0.88210255,No.,['no'],0.9409806
70,Marlts,T295,It is a good blend but what is the price/ Yes. It is good.,"['good', 'blend', 'but', 'price', 'yes', 'good']",0.9942591,Will stop smoking our regular blend and start smoking this blend/ Yes. It is good.,"['stop', 'smoking', 'regular', 'blend', 'start', 'smoking', 'blend', 'yes', 'good']",0.9950336
71,Marlts,D782,cigarette is good and light. You can smoke this cigarette.,"['cigarette', 'good', 'light', 'smoke', 'cigarette']",0.9622195,cigarette is good. Manufacturer did a good job/ No. everything is perfect. It should be same.,"['cigarette', 'good', 'manufacturer', 'good', 'job', 'no', 'everything', 'perfect', 'should']",0.9929813
72,Marlts,B845,This is a very good blend but is slightly strong. So you enoy smoking it/ I would say that everyone should start smoking thos cigarette only.,"['very', 'good', 'blend', 'but', 'slightly', 'strong', 'enjoy', 'smoking', 'would', 'say', 'everyone', 'should', 'start', 'smoking', 'tho', 'cigarette']",0.0029345807,It would be good if the cigarette is light. It would be easy to take puff for others/ Yes. It should be light. It is very strong.,"['would', 'good', 'cigarette', 'light', 'would', 'easy', 'take', 'puff', 'others', 'yes', 'should', 'light', 'very', 'strong']",0.0074717137
73,MGA,D782,cigarette is good.  You can easily smoke two three cigarettes in a day.,"['cigarette', 'good', 'easily', 'smoke', 'two', 'three', 'cigarette', 'day']",0.9816203,Will change the design/ I will change the name and design and will add mint flavor to it/ No.,"['change', 'design', 'change', 'name', 'design', 'add', 'mint', 'flavor', 'no']",0.5624565
74,Marlts,G647,This is a strong cigarette. It should be light. It is good for those who smoke strong cigarette.,"['strong', 'cigarette', 'should', 'light', 'good', 'smoke', 'strong', 'cigarette']",0.0247827,It should be made light.,"['should', 'make', 'light']",0.041311137
75,MGA,B845,This is a very good cigarette and is very smooth. It doesn’t hurt in the throat also.,"['very', 'good', 'cigarette', 'very', 'smooth', 'not', 'hurt', 'throat', 'also']",0.8067465,No.,['no'],0.9409806
76,Marlts,B845,This is a smooth cigarette and doesn’t hurt the throat. It has perfect smoke.,"['smooth', 'cigarette', 'not', 'hurt', 'throat', 'perfect', 'smoke']",0.98438895,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
77,MGA,V476,Tobacco level should be strong. I prefer mild cigarette. This is very light.,"['tobacco', 'level', 'should', 'strong', 'prefer', 'mild', 'cigarette', 'very', 'light']",0.0013208657,I will make it mild.,"['make', 'mild']",0.17549108
78,MGA,G647,This is a strong cigarette/ cigarette is good but is strong.,"['strong', 'cigarette', 'cigarette', 'good', 'but', 'strong']",0.298444,This cigarette is strong. It should be light. So some changes should be made. ,"['cigarette', 'strong', 'should', 'light', 'change', 'should', 'make']",0.0017932337
79,MGA,B845,This is a good cigarette and has good taste also.,"['good', 'cigarette', 'good', 'taste', 'also']",0.98786527,No.,['no'],0.9409806
80,Marlts,D782,Will say that this is a good cigarette and easy to smoke/ Taste is good. ,"['say', 'good', 'cigarette', 'easy', 'smoke', 'taste', 'good']",0.9969447,No.,['no'],0.9409806
81,MGA,V476,This is a good blend and I liked smoking it.,"['good', 'blend', 'like', 'smoking']",0.9695644,There is no need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
82,MGA,K817,cigarette is smooth and easy to hold. It doesn’t hurt in the throat. ,"['cigarette', 'smooth', 'easy', 'hold', 'not', 'hurt', 'throat']",0.7959714,Nothing. Everything is good.,"['nothing', 'everything', 'good']",0.9944689
83,Marlts,T295,cigarette is good and has perfect quantity of tobacco.,"['cigarette', 'good', 'perfect', 'quantity', 'tobacco']",0.98901397,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
84,Marlts,K817,This is a good cigarette and can easily take the puff.,"['good', 'cigarette', 'easily', 'take', 'puff']",0.9480828,No.,['no'],0.9409806
85,MGA,B845,This is good blend/ No.,"['good', 'blend', 'no']",0.99743915,Tobacco quantity should be reduced,"['tobacco', 'quantity', 'should', 'reduce']",0.0039768703
86,MGA,D782,That this cigarette is smooth to smoke and has perfect tobacco content.,"['cigarette', 'smooth', 'smoke', 'perfect', 'tobacco', 'content']",0.9308684,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
87,Marlts,B845,cigarette is smooth to smoke.,"['cigarette', 'smooth', 'smoke']",0.95333457,No.,['no'],0.9409806
88,MGA,G647,That this is a good cigarette and is smooth and doesn’t hurt in the throat. Overall cigarette is good.,"['good', 'cigarette', 'smooth', 'not', 'hurt', 'throat', 'overall', 'cigarette', 'good']",0.9879166,I will not make any changes in this blend because I liked it very much.,"['not', 'make', 'change', 'blend', 'like', 'very', 'much']",0.8387724
89,Marlts,K817,That this is a good brand and easy to smoke. ,"['good', 'brand', 'easy', 'smoke']",0.99688345,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
90,MGA,D782,It is a good cigarette and is smooth and not hard. Even the flavor is good. Will ask my friends to try this cigarette.,"['good', 'cigarette', 'smooth', 'not', 'hard', 'even', 'flavor', 'good', 'ask', 'friend', 'try', 'cigarette']",0.9908426,cigarette is good and no need to make any changes. But it should be made hard.,"['cigarette', 'good', 'no', 'need', 'make', 'change', 'but', 'should', 'make', 'hard']",0.036144122
91,MGA,K817,Would say that tobacco content should be increassed/ No.,"['would', 'say', 'tobacco', 'content', 'should', 'increase', 'no']",0.006660455,Tobacco content should be increased.,"['tobacco', 'content', 'should', 'increase']",0.0028332262
92,MGA,V476,cigarette is smooth. ,"['cigarette', 'smooth']",0.90100926,Tobacco taste should be changed.,"['tobacco', 'taste', 'should', 'change']",0.031836994
93,MGA,B845,cigarette taste is good and flavor remains for long time. It doesn’t hurt in the throat.,"['cigarette', 'taste', 'good', 'flavor', 'remains', 'long', 'time', 'not', 'hurt', 'throat']",0.87229556,There is no need to make any changes. Filter and everything is good.,"['no', 'need', 'make', 'change', 'filter', 'everything', 'good']",0.98624367
94,Marlts,K817,Blend taste and flavor is very good. ,"['blend', 'taste', 'flavor', 'very', 'good']",0.9879248,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
95,MGA,D782,Irrelevant data.,"['irrelevant', 'data']",0.78981745,No.,['no'],0.9409806
96,MGA,G647,Will say that this is a very good cigarette and also say that this doesn’t hurt in the throat.,"['say', 'very', 'good', 'cigarette', 'also', 'say', 'not', 'hurt', 'throat']",0.90831393,This is a light cigarette. I like hard cigarettes. Hardness should be increased.,"['light', 'cigarette', 'like', 'hard', 'cigarette', 'hardness', 'should', 'increase']",0.0016279117
97,MGA,B845,It is good and smooth. ,"['good', 'smooth']",0.9821878,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
98,Marlts,G647,Will say that this is a good product. ,"['say', 'good', 'product']",0.9750507,No.,['no'],0.9409806
99,MGA,K817,That this is a very good blend.,"['very', 'good', 'blend']",0.9887468,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
100,MGA,K817,It is a superb cigarette and is very smooth also.,"['superb', 'cigarette', 'very', 'smooth', 'also']",0.9767196,Yes. cigarette is strong. It will go well in market/ cigarette should be made strong.,"['yes', 'cigarette', 'strong', 'go', 'well', 'market', 'cigarette', 'should', 'make', 'strong']",0.027051475
101,MGA,D782,Good.,['good'],0.95813644,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
102,Marlts,D782,I  liked the product very much. It is very smooth and doesn’t hurt in the throat. Will recommend my friends. ,"['like', 'product', 'very', 'much', 'very', 'smooth', 'not', 'hurt', 'throat', 'recommend', 'friend']",0.5812459,There is no need to make any changes because everything is perfect. According to me the product is perfect.,"['no', 'need', 'make', 'change', 'everything', 'perfect', 'accord', 'product', 'perfect']",0.99263716
103,MGA,K817,That this is a good product/ I liked it taste and flavor/ Yes.,"['good', 'product', 'like', 'taste', 'flavor', 'yes']",0.81563526,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
104,Marlts,B845,That this is a strong cigarette.,"['strong', 'cigarette']",0.261166,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
105,MGA,D782,That this is a smooth cigarette and is very good. ,"['smooth', 'cigarette', 'very', 'good']",0.9861248,The cigarette should be more smoother. ,"['cigarette', 'should', 'smoother']",0.061487075
106,MGA,T295,It was an wonderful experience. I liked the taste and flavor very much.,"['wonderful', 'experience', 'like', 'taste', 'flavor', 'very', 'much']",0.2904429,There is no need to make changes. It is a good product.,"['no', 'need', 'make', 'change', 'good', 'product']",0.98139924
107,MGA,V476,That the cigarette taste is good and it is a very light cigarette.,"['cigarette', 'taste', 'good', 'very', 'light', 'cigarette']",0.92395216,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
108,MGA,G647,"This is a very light cigarette. So if this cigarette comes in market, I will ask my friends to try this one as it is a very light cigarette.","['very', 'light', 'cigarette', 'cigarette', 'come', 'market', 'ask', 'friend', 'try', 'one', 'very', 'light', 'cigarette']",0.88491917,IF you want to make it a favorite blend than the filter should be smooth. I heard that triple layer filter is available. So that should be given in this.  Otherwise everything else is good.,"['want', 'make', 'favorite', 'blend', 'filter', 'should', 'smooth', 'heard', 'triple', 'layer', 'filter', 'available', 'should', 'give', 'otherwise', 'everything', 'else', 'good']",0.09004379
109,MGA,B845,This is a good cigarette/ Will ask my friends to try it. ,"['good', 'cigarette', 'ask', 'friend', 'try']",0.9951599,There is no need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
110,MGA,D782,This is a good blend and doesn’t disturb in the throat.,"['good', 'blend', 'not', 'disturb', 'throat']",0.93894774,No.,['no'],0.9409806
111,MGA,T295,This is  a good product and doesn’t hurt in the throat.,"['good', 'product', 'not', 'hurt', 'throat']",0.86952794,No.,['no'],0.9409806
112,Marlts,G647,This is a good product. It is very smooth/ I liked it. It doesn’t hurt in the throat.,"['good', 'product', 'very', 'smooth', 'like', 'not', 'hurt', 'throat']",0.7651106,No.,['no'],0.9409806
113,Marlts,V476,This is a very good cigarette. Filter is very good.,"['very', 'good', 'cigarette', 'filter', 'very', 'good']",0.9873949,Product should be same. ,"['product', 'should']",0.18096003
114,Marlts,V476,This is a hard cigarette and hurts in the throat/ Yes.,"['hard', 'cigarette', 'hurt', 'throat', 'yes']",0.32509395,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
115,MGA,G647,cigarette is smooth and has good flavor/ No.,"['cigarette', 'smooth', 'good', 'flavor', 'no']",0.9941791,No. it is absolutely perfect.,"['no', 'absolutely', 'perfect']",0.9949858
116,MGA,K817,This is  a good product and you feel relaxed after smoking.,"['good', 'product', 'feel', 'relaxed', 'after', 'smoking']",0.8979931,No.,['no'],0.9409806
117,Marlts,G647,That cigarette taste is good and will ask them to try it.,"['cigarette', 'taste', 'good', 'ask', 'try']",0.9923896,Only Tobacco content should be increased.,"['tobacco', 'content', 'should', 'increase']",0.0028332262
118,Marlts,G647,This is a very good product and doesn’t hurt in the throat unlike other products. ,"['very', 'good', 'product', 'not', 'hurt', 'throat', 'unlike', 'product']",0.6554819,No. it is good.,"['no', 'good']",0.99228376
